DATAFLOW,LAST UPDATE,freq,emp_cont,yes_no,lev_satis,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,EU27_2020,2021,8964.3,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,FI,2021,132.7,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,FR,2021,1509.3,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,HR,2021,80.6,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,HU,2021,64.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,IE,2021,100.3,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,IT,2021,1468.6,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,LT,2021,7.8,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,LU,2021,7.8,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,LV,2021,9.6,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,MT,2021,7.5,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,NL,2021,719.8,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,NO,2021,78,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,PL,2021,486,,
ESTAT:LFSO_21JSAT06(1.0),12-12-2024 23:00,A,LTD,NO,HIGH,Y15-64,T,THS_PER,PT,2021,113.6,,
